domains,GDPR Complaint,Cookie Usage Properly,Banner State,comments,evidence,privacy urls,is Russian or .gov
http://dropcatch.com,1,False,No Banner,,['ga'],https://www.dropcatch.com/legal/privacy,
http://moe.video,,False,Normal,,"['Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_']",https://moe.video/privacy-policy,1
http://launchpad.net,1,True,No Cookie,,['half_interact'],https://www.ubuntu.com/legal/dataprivacy ,
http://inmobi.com,1,False,Normal,,"['Cookie hit at _hjSession_', 'Cookie hit at li_gc', 'Cookie hit at lidc', 'Cookie hit at li_gc', 'Cookie hit at lidc', 'Cookie hit at _hjSession_']",https://www.inmobi.com/website-cookie-policy,
http://launchdarkly.com,1,False,Normal,,"['Cookie hit at li_gc', 'Cookie hit at lidc', 'Cookie hit at guest_id', 'Cookie hit at guest_id', 'Cookie hit at personalization_id', 'Cookie hit at guest_id', 'Cookie hit at li_gc', 'Cookie hit at lidc', 'Cookie hit at guest_id', 'Cookie hit at guest_id', 'Cookie hit at personalization_id', 'Cookie hit at guest_id']",https://launchdarkly.com/policies/privacy/,
http://grammarly.com,1,False,Normal,,['__ps_slu'__ps_did],https://www.grammarly.com/privacy-policy,
http://harvard.edu,,False,No Banner,,['ga'],https://www.harvard.edu/privacy-statement/ ,
http://stripe.com,1,True,Normal,,[],https://stripe.com/en-hk/privacy ,
http://slack.com,1,False,Normal,,[__Secure-ROLLOUT_TOKEN],https://slack.com/trust/privacy/privacy-policy ,
http://avast.com,1,False,Normal,,"['Cookie hit at mbox', 'Cookie hit at AMCV_', 'Cookie hit at mbox', 'Cookie hit at AMCV_']",https://www.avast.com/cookies-policy,
http://nota.media,,False,No Banner,,"['Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_']",https://nota.media/rules/,1
http://ivi.ru,,False,No Banner,banner只能同意,['ym'],https://www.ivi.tv/info/confidential,1
http://ok.ru,1,True,Accept Easier,"如果`isgdpr=1`,那么合规，但是隐身模式不会判断你在gdpr，那么会用",[''],https://ok.ru/cookiepolicy,1
http://sberbank.ru,,False,Normal,,"['Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_']",https://www.sberbank.ru/privacy/cookies,1
http://consultant.ru,,False,Normal,,"['Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_', 'Cookie hit at _ym_']",https://www.consultant.ru/cookies/policy/,1
http://ibm.com,1,False,Normal,,['AMCV'，'ga'],https://www.ibm.com/us-en/privacy,0
